unit_id,barrage_id,time1,time2,time3
1001,1,2.00,2.00,1.00
1001,2,1.80,1.80,0.90
1001,3,15.60,6.30,3.15
1001,4,15.20,6.00,3.00
1001,7,15.46,5.46,2.73
1002,1,2.10,2.10,1.05
1002,2,2.20,2.20,1.10
1002,3,12.70,5.70,2.85
1002,4,14.20,5.80,2.90
1002,7,15.85,6.65,3.33
1005,1,2.60,2.60,1.30
1005,2,2.90,2.90,1.45
1005,3,14.79,4.89,2.44
1005,4,13.20,5.25,2.62
1005,7,20.30,6.85,3.42
1011,1,1.70,1.70,0.85
1011,2,1.45,1.45,0.72
1011,3,14.75,5.70,2.85
1011,4,16.00,6.20,3.10
1011,7,20.82,9.12,4.56
1015,1,2.10,2.10,1.05
1015,2,2.20,2.20,1.10
1015,3,14.07,5.62,2.81
1015,4,12.00,3.70,1.85
1015,7,17.05,6.65,3.33
1030,1,2.60,2.60,1.30
1030,2,1.80,1.80,0.90
1030,3,15.53,6.73,3.36
1030,4,15.95,6.95,3.48
1030,7,16.42,6.22,3.11
1037,1,2.16,2.16,1.08
1037,2,1.48,1.48,0.74
1037,3,17.06,6.46,3.23
1037,4,17.55,7.55,3.78
1037,7,20.65,11.05,5.53
9136,1,2.00,2.00,1.00
9136,2,2.40,2.40,1.20
